trace_id,activity,timestamp
1,D,2025-06-27T03:42:35
1,A,2025-06-27T03:51:35
1,D,2025-06-27T04:00:35
1,C,2025-06-27T04:08:35
2,B,2025-06-27T12:15:35
2,B,2025-06-27T12:16:35
2,D,2025-06-27T12:21:35
2,A,2025-06-27T12:26:35
2,A,2025-06-27T12:34:35
2,D,2025-06-27T12:38:35
2,A,2025-06-27T12:41:35
2,D,2025-06-27T12:45:35
2,B,2025-06-27T12:54:35
3,C,2025-06-26T18:02:35
3,E,2025-06-26T18:12:35
3,A,2025-06-26T18:21:35
3,E,2025-06-26T18:30:35
3,A,2025-06-26T18:40:35
4,D,2025-06-26T16:06:35
4,B,2025-06-26T16:16:35
4,E,2025-06-26T16:19:35
4,C,2025-06-26T16:22:35
4,D,2025-06-26T16:24:35
4,D,2025-06-26T16:28:35
4,A,2025-06-26T16:33:35
4,C,2025-06-26T16:43:35
4,D,2025-06-26T16:52:35
5,B,2025-06-27T04:56:35
5,A,2025-06-27T05:05:35
5,C,2025-06-27T05:14:35
5,C,2025-06-27T05:24:35
5,B,2025-06-27T05:26:35
5,B,2025-06-27T05:33:35